X-0.063 Y50.478
X1.081 Y50.018
X2.133 Y50.132
X2.967 Y50.120
X3.838 Y50.155
X5.335 Y50.276
X6.037 Y50.222
X7.388 Y50.670
X8.095 Y49.686
X8.733 Y50.129
X9.677 Y50.321
X11.007 Y49.908
X12.059 Y49.973
X13.260 Y50.329
X13.465 Y49.725
X14.791 Y49.814
X16.248 Y50.552
X17.393 Y50.083
X18.234 Y50.268
X19.512 Y50.061
X19.781 Y50.064
X20.743 Y49.815
X22.347 Y49.676
X23.346 Y49.654
X23.761 Y49.932
X25.226 Y49.489
X26.164 Y50.107
X27.091 Y50.139
X28.514 Y50.090
X29.370 Y50.132
X30.036 Y50.243
X31.229 Y49.746
X32.279 Y50.542
X33.109 Y49.991
X33.975 Y49.791
X34.901 Y49.856
X35.981 Y50.338
X36.875 Y50.427
X37.820 Y50.141
X38.444 Y49.945
X39.862 Y50.240
X41.445 Y50.174
X41.748 Y50.251
X42.845 Y49.740
X43.887 Y50.041
X45.260 Y50.279
X46.067 Y49.891
X46.883 Y50.221
X48.101 Y49.938
X49.500 Y50.249
X49.953 Y50.136
X50.555 Y50.070
X52.522 Y49.896
X52.915 Y50.156
X53.932 Y50.108
X54.717 Y50.049
X55.971 Y50.251
X56.857 Y50.133
X58.131 Y50.189
X59.249 Y50.313
X59.724 Y50.247
X61.129 Y50.466
X61.754 Y50.044
X63.042 Y50.220
X64.146 Y50.141
X65.258 Y49.501
X65.868 Y50.071
X67.117 Y50.539
X68.193 Y49.825
X69.073 Y49.954
X70.205 Y50.031
X71.284 Y49.915
X72.174 Y50.114
X73.194 Y50.163
X73.309 Y50.265
X75.066 Y49.802
X76.095 Y50.012
X76.649 Y50.050
X78.177 Y49.582
X79.307 Y50.182
X80.285 Y49.456
X80.644 Y50.052
X81.915 Y50.154
X83.382 Y50.382
X84.285 Y50.222
X85.176 Y49.859
X86.269 Y49.821
X87.263 Y50.210
X88.097 Y50.209
X89.283 Y49.828
X90.198 Y49.992
X91.086 Y50.121
X91.929 Y49.987
X93.043 Y50.043
X94.517 Y49.842
X95.262 Y49.965
X95.877 Y50.516
X96.721 Y50.152
X97.942 Y50.101
X99.155 Y49.972
X100.180 Y50.359
